iter	RMSE
359	0.53882261
360	0.538562102
361	0.5382590179
362	0.5379250554
363	0.5375590796
364	0.5374410708
365	0.5373157259
366	0.5363728595
367	0.5359414506
368	0.5355897854
369	0.5350237866
370	0.5345182331
371	0.5339796498
372	0.5336689865
373	0.5333655966
374	0.5333083392
375	0.533048192
376	0.5325812218
377	0.5324538438
378	0.5320376203
379	0.5310118378
380	0.5309502116
381	0.5308006832
382	0.530671332
383	0.5304221286
384	0.530260284
385	0.5301218963
386	0.5299063631
387	0.5297053465
388	0.5292924164
389	0.5291262123
390	0.5288292801
391	0.5280835725
392	0.5272017716
393	0.5269215185
394	0.526258576
395	0.5260129143
396	0.5255644726
397	0.5250190047
398	0.5247174883
399	0.5246786708
400	0.5244540186
401	0.5243147269
402	0.5241258948
403	0.5240800865
404	0.5239604632
405	0.523806801
406	0.523677977
407	0.5234131314
408	0.5232780333
409	0.5228964274
410	0.5226716696
411	0.5220974522
412	0.5217739748
413	0.5215240246
414	0.5209645609
415	0.5202698684
416	0.5200208825
417	0.5198122209
418	0.519697096
419	0.5192056376
420	0.5185716372
421	0.5182863669
422	0.5182539903
423	0.5177103866
424	0.5175833949
425	0.5174125938
426	0.5173901272
427	0.5173436162
428	0.5169826635
429	0.5168782962
430	0.5164102619
431	0.516113102
432	0.515665235
433	0.5156229274
434	0.51556275
435	0.515153408
436	0.5147050425
437	0.5145583565
438	0.5142991695
439	0.5138634139
440	0.5133620515
441	0.5130673577
442	0.5130052822
443	0.5127283057
444	0.5123712697
445	0.5119007612
446	0.5113209667
447	0.5105078144
448	0.5104661981
449	0.5099061726
450	0.5095313064
451	0.5091252923
452	0.5083209746
453	0.5080677193
454	0.507258346
455	0.5071545589
456	0.50689714
457	0.5068372781
458	0.5062081663
459	0.5057998208
460	0.5050881569
461	0.5047389952
462	0.504315659
463	0.5040776174
464	0.503849281
465	0.5033550187
466	0.5030929055
467	0.5030634529
468	0.5030057345
469	0.5027790009
470	0.5025999419
471	0.5020758832
472	0.5017347538
473	0.5016681372
474	0.5015701522
475	0.5014880183
476	0.5010517275
477	0.5007049404
478	0.5001355636
479	0.5001051322
480	0.4998917656
481	0.4996993935
482	0.4993530764
483	0.4992152125
484	0.4988481264
485	0.4983387123
486	0.498147768
487	0.4978777676
488	0.497628892
489	0.4972700828
490	0.4969068459
491	0.4967907795
492	0.4965601299
493	0.4964633741
494	0.4964459617
495	0.4960463563
496	0.4957468587
497	0.4953937428
498	0.4953251879
499	0.4951178305
