iter	Passed	Remaining
406	5794	1324
407	5805	1309
408	5816	1294
409	5827	1279
410	5838	1264
411	5849	1249
412	5860	1234
413	5871	1219
414	5883	1205
415	5894	1190
416	5905	1175
417	5916	1160
418	5927	1145
419	5938	1131
420	5949	1116
421	5960	1101
422	5971	1087
423	5989	1073
424	6001	1059
425	6012	1044
426	6023	1029
427	6033	1015
428	6045	1000
429	6056	985
430	6067	971
431	6078	956
432	6089	942
433	6100	927
434	6111	913
435	6122	898
436	6133	884
437	6144	869
438	6156	855
439	6167	840
440	6178	826
441	6189	812
442	6200	797
443	6211	783
444	6222	769
445	6233	754
446	6248	740
447	6260	726
448	6272	712
449	6283	698
450	6295	683
451	6306	669
452	6317	655
453	6328	641
454	6339	627
455	6350	612
456	6361	598
457	6372	584
458	6383	570
459	6394	556
460	6408	542
461	6423	528
462	6435	514
463	6447	500
464	6459	486
465	6470	472
466	6481	458
467	6494	444
468	6505	430
469	6518	416
470	6529	402
471	6541	388
472	6552	374
473	6564	360
474	6575	346
475	6586	332
476	6599	318
477	6610	304
478	6621	290
479	6632	276
480	6643	262
481	6654	248
482	6665	234
483	6676	220
484	6688	206
485	6699	192
486	6710	179
487	6721	165
488	6732	151
489	6743	137
490	6753	123
491	6764	109
492	6774	96
493	6785	82
494	6796	68
495	6807	54
496	6818	41
497	6829	27
498	6840	13
499	6851	0
